location_id,location_name,location_type,type_id,ratings,no. of rating,provience,cost,user_id,best_time_to_visit,visiting_hours,Address,Website_link,image_link
0,Ripley's Aquarium of Canada,Aquariums,4,4.5,"20,326",ontario,15$,1,summer,Sun - Sat 10:00 AM - 8:00 PM,"288 Bremner Boulevard, Toronto, Ontario M5V 3L9 Canada",http://www.ripleyaquariums.com/canada,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/f0/d6/1e/ripley-s-aquarium-of.jpg?w=400&h=400&s=1
1,Mount Royal Park,Parks,2,3,"10,493",quebec,5$,1,fall,Sun - Sat 6:00 AM - 12:00 AM,"1260 Remembrance Road, Montreal, Quebec H3H 1A2 Canada",http://www.lemontroyal.qc.ca/en,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/19/02/fe/photo1jpg.jpg?w=400&h=400&s=1
2,Stanley Park,Parks,2,4.5,"28,722",BC,free,1,all time,Sun-Sat 8:00 AM- 6:00 PM,"Stanley Park Causeway, Vancouver, British Columbia V6G 1Z4 Canada",http://vancouver.ca/parks-recreation-culture/stanley-park.aspx,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/a6/09/9f/beautiful-view-of-stanley.jpg?w=400&h=400&s=1
3,Niagara Falls Canada,Points of Interest & Landmarks   Waterfalls,4,1,"31,476",ontario,free,2,all time,Thu - Thu 12:00 AM - 11:59 PM,"Niagara Falls, Ontario L2G 3Y9 Canada",https://www.niagarafallstourism.com/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/a3/8b/5f/niagara-falls.jpg?w=400&h=400&s=1
4,Old Quebec,Neighbourhoods   Historic Walking Areas,5,5,"13,360",quebec,10$,2,summer,Sun - Sat 10:00 AM - 8:00 PM,"Rue de Tresor, Quebec City, Quebec GIR 5B8 Canada",http://whc.unesco.org/en/list/300,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/64/49/7b/photos-were-taken-on.jpg?w=400&h=-1&s=1
5,Heritage Park Historical Village,Historic Sites   Parks,5,3,"3,133",alberta,free,2,fall,Sun - Sat 6:00 AM - 12:00 AM,"1900 Heritage Dr SW, Calgary, Alberta T2V 2X3 Canada",http://www.heritagepark.ca/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/79/69/37/heritage-park-historical.jpg?w=400&h=400&s=1
6,Parliament Hill and Buildings,Historic Sites   Government Buildings,5,4.5,"9,511",ontario,free,3,all time,Sun - Sat 12:00PM - 12:00 AM,"111 Wellington St, Ottawa, Ontario K1A 0A6 Canada",http://www.parl.gc.ca/visitors/index-e.asp,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/c3/61/60/east-block.jpg?w=400&h=400&s=1
7,Royal BC Museum,Speciality Museums,5,4.5,"7,034",BC,5$,4,all time,Sat - Tue 10:00 AM - 6:00 PM,"675 Belleville St, Victoria, British Columbia V8W 1A1 Canada",http://www.royalbcmuseum.bc.ca/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/4c/b2/0e/royal-bc-museum.jpg?w=400&h=400&s=1
8,Banff Gondola,Trams,1,2,"10,202",alberta,free,3,summer,Mon - Sun 11:00 AM - 9:00 PM,"Mountain Avenue, Banff, Banff National Park, Alberta T1L 1B2 Canada",http://www.banffgondola.com/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/44/d2/4f/owned-by-pursuit.jpg?w=400&h=400&s=1
9,Toronto Island Park,Islands   Parks,9,4.5,"8,437",ontario,20$,4,fall,Sun - Sat 10:00 AM - 5:00 PM,"9 Queens Quay West Bay Street, Jack Layton Ferry Terminal, Toronto, Ontario M5J 2H3 Canada",http://www.toronto.ca/parks/island/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/9f/cb/a0/toronto-island-parks.jpg?w=400&h=400&s=1
10,Lake Ontario,Bodies of Water,4,3,790,ontario,5$,3,all time,Sun - Sat 12:00 AM - 11:59 PM,Ontario L1S 3Z3 Canada,http://www.great-lakes.net/lakes/ontario.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/61/c9/6c/lake-ontario.jpg?w=400&h=400&s=1
11,West Edmonton Mall,Shopping Malls,8,4,"4,198",alberta,50$,4,all time,Mon - Sat 10:00 AM - 9:00 PM,"8882 170th St, Edmonton, Alberta T5T 3J7 Canada",http://www.wem.ca/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/3d/75/4f/wow.jpg?w=400&h=400&s=1
12,Peller Estates Winery,Wineries & Vineyards,2,4.5,"2,789",ontario,free,1,summer,Fri - Sat 11:00 AM - 7:00 PM,"290 John Street East, Niagara-on-the-Lake, Ontario L0S 1J0 Canada",http://www.peller.com/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/0f/c9/00/the-10below-iceroom.jpg?w=400&h=400&s=1
13,Whistler Blackcomb,Mountains   Ski & Snowboard Areas,7,3,"4,230",BC,free,1,fall,Sun-Mon 8:30 AM - 3:00 PM,"4545 Blackcomb Way, Whistler, British Columbia V8E 0X9 Canad",http://www.whistlerblackcomb.com/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/4d/a0/8a/cheakamus-lake-as-seen.jpg?w=400&h=400&s=1
14,Canadian Museum for Human Rights,Speciality Museums,5,4.5,"2,397",manitoba,6$,5,all time,Tue - Sat 10:00 AM - 5:00 PM,"85 Israel Asper Way, Winnipeg, Manitoba R3C 0L5 Canada",http://humanrights.ca/visit/hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/24/72/bd/canadian-museum-for-human.jpg?w=400&h=400&s=1
15,Halifax Waterfront Boardwalk,Piers & Boardwalks,1,4.5,"3,234",novaScotia,free,5,all time,Sun-Mon 8:30 AM - 3:00 PM,"entre le quai Purdys et la rue Salter, Halifax, Nova Scotia Canada",http://www.halifax.ca/rec/documents/HfxWaterfront.pdf,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/1a/77/0c/ferry-boat-lane-shops.jpg?w=400&h=400&s=1
16,Myra Canyon Park,State Parks   Canyons,7,5,"1,648",BC,35$,5,summer,Tue - Sat 10:00 AM - 5:00 PM,"Kelowna, British Columbia Canada",http://www.myratrestles.com/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/20/ce/b5/myra-canyon-park.jpg?w=400&h=400&s=1
17,Port Credit,Bodies of Water   Neighbourhoods,4,4.5,953,ontario,50$,2,fall,Sun - Sat 10:00 AM - 8:00 PM,"Lakeshore Road West, Mississauga, Ontario L5H 1G3 Canada",http://www.portcredit.com/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/34/ad/db/photo0jpg.jpg?w=400&h=400&s=1
18,Lost Lake,Bodies of Water,4,4.5,"1,777",BC,free,2,all time,Thu - Thu 12:00 AM - 11:59 PM,"Whistler, British Columbia Canada",http://www.whistler.ca/lost-lake-park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/cc/37/9d/photo2jpg.jpg?w=400&h=400&s=1
19,The Calgary Zoo,Nature & Wildlife Areas   Zoos,2,3.5,"4,461",alberta,free,2,all time,Sat - Thu 9:00 AM - 6:00 PM,"1300 Zoo Rd NE, Calgary, Alberta T2E 7V6 Canada",http://www.calgaryzoo.com/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/e9/81/5a/this-panda-is-getting.jpg?w=400&h=400&s=1
